exp1,exp2,metric,t_stat,p_value,significant,effect_size
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,ragas_faithfulness,8.71276165340775,4.293453789361954e-13,True,1.3951584381039415
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,deepeval_faithfulness,8.66552666833727,3.3924777780674213e-13,True,1.3875947871495946
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-mmr-k4,deepeval_faithfulness,-8.619803843946842,4.3281843980181234e-13,True,1.3802732756932015
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-mmr-k4,deepeval_faithfulness,-8.530440513183532,5.842724236215468e-13,True,1.3659636905201988
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k12,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,deepeval_faithfulness,8.514048510968907,6.40145294960947e-13,True,1.3633388694684023
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,deepeval_faithfulness,8.47894720295443,7.038885308628524e-13,True,1.3577181618199001
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,deepeval_geval,-8.294230186440442,2.7562050220999455e-12,True,1.3281397669891317
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,deepeval_geval,-8.294230186440442,2.7562050220999455e-12,True,1.3281397669891317
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,deepeval_geval,-8.289028525355475,2.8206154510158395e-12,True,1.327306834602876
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,deepeval_geval,8.289028525355475,2.8206154510158395e-12,True,1.327306834602876
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k12,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,deepeval_faithfulness,8.22093427229983,3.2005175253611297e-12,True,1.3164030275763394
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-mmr-k4,ragas_faithfulness,-8.159067484387519,5.022565407357364e-12,True,1.30649641304609
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-mmr-k4,ragas_faithfulness,-8.159067484387519,5.022565407357364e-12,True,1.30649641304609
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-multi_query-k4,ragas_faithfulness,-8.044661172183854,8.343884083645382e-12,True,1.2881767414892686
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-multi_query-k4,ragas_faithfulness,-8.044661172183854,8.343884083645382e-12,True,1.2881767414892686
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-mmr-k4,ragas_faithfulness,-8.024459797494664,9.125890892379398e-12,True,1.2849419326559641
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-mmr-k4,ragas_faithfulness,-8.024459797494664,9.125890892379398e-12,True,1.2849419326559641
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,deepeval_faithfulness,7.9548160995153605,8.849836413840962e-12,True,1.273790015874379
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-mmr-k4,deepeval_faithfulness,-7.909067954513211,1.1184482220325514e-11,True,1.2664644498751774
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-mmr-k4,deepeval_faithfulness,-7.825207774279188,1.5071240536584125e-11,True,1.2530360740365414
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k12,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,deepeval_faithfulness,7.808673477281523,1.6449407665256178e-11,True,1.2503884675838404
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,deepeval_faithfulness,7.776534538076845,1.8108249268078945e-11,True,1.2452421185837412
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-multi_query-k4,deepeval_faithfulness,-7.661836637283697,1.0238405333503534e-11,True,1.2268757554844156
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-multi_query-k4,deepeval_faithfulness,-7.627690987188225,1.2351043056434928e-11,True,1.2214080755741532
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-multi_query-k4,ragas_faithfulness,-7.479334748811758,1.0164191344020412e-10,True,1.1976520650174618
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-multi_query-k4,ragas_faithfulness,-7.479334748811758,1.0164191344020412e-10,True,1.1976520650174618
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-multi_query-k4,deepeval_faithfulness,-7.026745222393823,2.413670396082965e-10,True,1.1251797397206396
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-multi_query-k4,deepeval_faithfulness,-6.992363001861649,2.8884617896430073e-10,True,1.119674178223103
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k12,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,ragas_context_relevance,6.793792725462102,2.0373344048944622e-09,True,1.0878774864626775
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k12,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,ragas_context_relevance,6.793792725462102,2.0373344048944622e-09,True,1.0878774864626775
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k12,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,ragas_context_relevance,6.565134168559677,5.4680453011860845e-09,True,1.0512628138941569
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k12,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,ragas_context_relevance,6.565134168559677,5.4680453011860845e-09,True,1.0512628138941569
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,ragas_context_relevance,6.538281383489349,6.137052045436288e-09,True,1.0469629269963203
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,ragas_context_relevance,6.538281383489349,6.137052045436288e-09,True,1.0469629269963203
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,ragas_context_relevance,6.421413629015645,1.0128048902764165e-08,True,1.0282491092330999
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-k8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,ragas_context_relevance,6.421413629015645,1.0128048902764165e-08,True,1.0282491092330999
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,ragas_faithfulness,-6.298986658102201,1.707412547838809e-08,True,1.008645104404781
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,ragas_faithfulness,6.298986658102201,1.707412547838809e-08,True,1.008645104404781
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-mmr-k4,ragas_context_relevance,-6.122248799730368,3.6108341984605545e-08,True,0.9803443974362342
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-mmr-k4,ragas_context_relevance,-6.122248799730368,3.6108341984605545e-08,True,0.9803443974362342
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-mmr-k4,ragas_context_relevance,-5.976952578591351,6.65166575247785e-08,True,0.957078381790388
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-mmr-k4,ragas_context_relevance,-5.976952578591351,6.65166575247785e-08,True,0.957078381790388
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-multi_query-k4,ragas_context_relevance,-5.828327396843629,1.236569299241024e-07,True,0.9332793058281799
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-multi_query-k4,ragas_context_relevance,-5.828327396843629,1.236569299241024e-07,True,0.9332793058281799
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,ragas_faithfulness,-5.807691632756944,1.3471910815940027e-07,True,0.9299749390226214
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,ragas_faithfulness,-5.807691632756944,1.3471910815940027e-07,True,0.9299749390226214
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-multi_query-k4,ragas_context_relevance,-5.731466961449706,1.8470809787995516e-07,True,0.9177692231317938
v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-multi_query-k4,ragas_context_relevance,-5.731466961449706,1.8470809787995516e-07,True,0.9177692231317938
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,v1-cohere-marketing-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,ragas_context_relevance,5.020893863844234,3.238198553761686e-06,True,0.8039864648686678
v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.8,v1-cohere-engineering-emb-multi-qa-mpnet-base-cos-v1-cs1024-co100-similarity_score_threshold-0.5,ragas_context_relevance,-5.020893863844234,3.238198553761686e-06,True,0.8039864648686678
